Period,Ratio,Group,Keyword,Gender
2018-01-01,0.86936,10,유산균,Female
2018-01-01,32.08763,20,유산균,Female
2018-01-01,58.4544,30,유산균,Female
2018-01-01,30.4656,40,유산균,Female
2018-01-01,6.15846,50,유산균,Female
2018-01-01,1.2136,60,유산균,Female
2018-02-01,0.96855,10,유산균,Female
2018-02-01,23.53112,20,유산균,Female
2018-02-01,45.16891,30,유산균,Female
2018-02-01,26.79852,40,유산균,Female
2018-02-01,5.61001,50,유산균,Female
2018-02-01,0.88103,60,유산균,Female
2018-03-01,0.99188,10,유산균,Female
2018-03-01,28.56059,20,유산균,Female
2018-03-01,50.81976,30,유산균,Female
2018-03-01,30.6669,40,유산균,Female
2018-03-01,7.09784,50,유산균,Female
2018-03-01,1.24277,60,유산균,Female
2018-04-01,0.80226,10,유산균,Female
2018-04-01,23.86078,20,유산균,Female
2018-04-01,42.57541,30,유산균,Female
2018-04-01,26.05461,40,유산균,Female
2018-04-01,5.62751,50,유산균,Female
2018-04-01,1.02398,60,유산균,Female
2018-05-01,0.59513,10,유산균,Female
2018-05-01,18.67086,20,유산균,Female
2018-05-01,36.64157,30,유산균,Female
2018-05-01,20.70132,40,유산균,Female
2018-05-01,4.39057,50,유산균,Female
2018-05-01,1.07065,60,유산균,Female
2018-06-01,0.74975,10,유산균,Female
2018-06-01,18.70587,20,유산균,Female
2018-06-01,34.24353,30,유산균,Female
2018-06-01,20.85885,40,유산균,Female
2018-06-01,4.97111,50,유산균,Female
2018-06-01,0.63014,60,유산균,Female
2018-07-01,0.98605,10,유산균,Female
2018-07-01,23.92788,20,유산균,Female
2018-07-01,40.32615,30,유산균,Female
2018-07-01,23.92496,40,유산균,Female
2018-07-01,6.62232,50,유산균,Female
2018-07-01,1.37697,60,유산균,Female
2018-08-01,1.67746,10,유산균,Female
2018-08-01,28.60435,20,유산균,Female
2018-08-01,45.76988,30,유산균,Female
2018-08-01,26.92689,40,유산균,Female
2018-08-01,6.32767,50,유산균,Female
2018-08-01,0.9948,60,유산균,Female
2018-09-01,1.69788,10,유산균,Female
2018-09-01,27.19236,20,유산균,Female
2018-09-01,49.32609,30,유산균,Female
2018-09-01,33.77093,40,유산균,Female
2018-09-01,9.46379,50,유산균,Female
2018-09-01,1.56368,60,유산균,Female
2018-10-01,1.39739,10,유산균,Female
2018-10-01,27.72332,20,유산균,Female
2018-10-01,48.37505,30,유산균,Female
2018-10-01,31.08699,40,유산균,Female
2018-10-01,7.90011,50,유산균,Female
2018-10-01,1.21652,60,유산균,Female
2018-11-01,1.12316,10,유산균,Female
2018-11-01,25.01021,20,유산균,Female
2018-11-01,45.37312,30,유산균,Female
2018-11-01,27.83709,40,유산균,Female
2018-11-01,7.33706,50,유산균,Female
2018-11-01,1.21068,60,유산균,Female
2018-12-01,1.0619,10,유산균,Female
2018-12-01,23.87828,20,유산균,Female
2018-12-01,42.7096,30,유산균,Female
2018-12-01,26.97648,40,유산균,Female
2018-12-01,6.48812,50,유산균,Female
2018-12-01,1.26903,60,유산균,Female
2019-01-01,0.71766,10,유산균,Female
2019-01-01,24.8235,20,유산균,Female
2019-01-01,51.35947,30,유산균,Female
2019-01-01,37.09084,40,유산균,Female
2019-01-01,10.8466,50,유산균,Female
2019-01-01,2.15006,60,유산균,Female
2019-02-01,0.79934,10,유산균,Female
2019-02-01,24.23128,20,유산균,Female
2019-02-01,45.97701,30,유산균,Female
2019-02-01,36.24773,40,유산균,Female
2019-02-01,12.60283,50,유산균,Female
2019-02-01,2.33677,60,유산균,Female
2019-03-01,0.98022,10,유산균,Female
2019-03-01,30.23221,20,유산균,Female
2019-03-01,59.20998,30,유산균,Female
2019-03-01,47.99579,40,유산균,Female
2019-03-01,14.46992,50,유산균,Female
2019-03-01,2.65476,60,유산균,Female
2019-04-01,0.66806,10,유산균,Female
2019-04-01,25.17649,20,유산균,Female
2019-04-01,49.85705,30,유산균,Female
2019-04-01,36.04936,40,유산균,Female
2019-04-01,10.374,50,유산균,Female
2019-04-01,1.91959,60,유산균,Female
2019-05-01,0.55429,10,유산균,Female
2019-05-01,23.49028,20,유산균,Female
2019-05-01,48.41005,30,유산균,Female
2019-05-01,37.791,40,유산균,Female
2019-05-01,11.23169,50,유산균,Female
2019-05-01,2.28134,60,유산균,Female
2019-06-01,0.62138,10,유산균,Female
