"특성별","경험및변화별","품목군별","항목","단위","2019 년","2020 년","2021 년","2022 년",
"전체","구입없음","비타민 및 무기질","비율","","25.2","21.1","23.1","28.9",
"전체","구입없음","식이섬유","비율","","54.6","56.1","61.1","63.5",
"전체","구입없음","아미노산 및 단백질","비율","","60.4","61","56.9","63.5",
"전체","구입없음","필수지방산","비율","","45.9","47.2","","",
"전체","구입없음","지방산","비율","","","","40.8","43.4",
"전체","구입없음","클로렐라/엽록소","비율","","61.3","66.2","","",
"전체","구입없음","엽록소","비율","","","","66.6","67.4",
"전체","구입없음","인삼류","비율","","40.6","43.6","42.5","41.1",
"전체","구입없음","페놀류","비율","","64.4","67.1","65.5","66.7",
"전체","구입없음","당 및 탄수화물","비율","","62.7","64.5","63.5","64.5",
"전체","구입없음","발효미생물류","비율","","36.6","30.6","29.9","35.2",
"전체","구입없음","신규기능성식품","비율","","","","47.2","48.1",
"전체","구입있음","비타민 및 무기질","비율","","74.8","78.9","76.9","71.1",
"전체","구입있음","식이섬유","비율","","45.4","43.9","38.9","36.5",
"전체","구입있음","아미노산 및 단백질","비율","","39.6","39","43.1","36.5",
"전체","구입있음","필수지방산","비율","","54.1","52.8","","",
"전체","구입있음","지방산","비율","","","","59.2","56.6",
"전체","구입있음","클로렐라/엽록소","비율","","38.7","33.8","","",
"전체","구입있음","엽록소","비율","","","","33.4","32.6",
"전체","구입있음","인삼류","비율","","59.4","56.4","57.5","58.9",
"전체","구입있음","페놀류","비율","","35.6","32.9","34.5","33.3",
"전체","구입있음","당 및 탄수화물","비율","","37.3","35.5","36.5","35.5",
"전체","구입있음","발효미생물류","비율","","63.4","69.4","70.1","64.8",
"전체","구입있음","신규기능성식품","비율","","","","52.8","51.9",
"전체","매우 감소","비타민 및 무기질","비율","%","2.5","1.7","2.7",".9",
"전체","매우 감소","식이섬유","비율","%","4.9","2.7","6.2","8.3",
"전체","매우 감소","아미노산 및 단백질","비율","%","4.4","3.3","5.5","8.9",
"전체","매우 감소","필수지방산","비율","%","2.5","2.5","","",
"전체","매우 감소","지방산","비율","%","","","1.8","1.8",
"전체","매우 감소","클로렐라/엽록소","비율","%","6.3","6.3","","",
"전체","매우 감소","엽록소","비율","%","","","7.4","8.7",
"전체","매우 감소","인삼류","비율","%","4.8","5.1","4.2","4.5",
"전체","매우 감소","페놀류","비율","%","4.6","4.7","9.8","8.9",
"전체","매우 감소","당 및 탄수화물","비율","%","5.6","7.8","7.6","6.7",
"전체","매우 감소","발효미생물류","비율","%","2.9","2.6","1.7","2",
"전체","매우 감소","신규기능성식품","비율","%","","","3.5","4",
"전체","약간 감소","비타민 및 무기질","비율","%","4.8","3.9","7.7","4.6",
"전체","약간 감소","식이섬유","비율","%","20.5","17.2","16.6","15.3",
"전체","약간 감소","아미노산 및 단백질","비율","%","16.4","16.6","14.8","18.1",
"전체","약간 감소","필수지방산","비율","%","12.7","9.9","","",
"전체","약간 감소","지방산","비율","%","","","10.7","10.1",
"전체","약간 감소","클로렐라/엽록소","비율","%","19","12.6","","",
"전체","약간 감소","엽록소","비율","%","","","20","19.8",
"전체","약간 감소","인삼류","비율","%","14.1","13.7","15.4","12.5",
"전체","약간 감소","페놀류","비율","%","23.2","12.7","19.6","17.5",
"전체","약간 감소","당 및 탄수화물","비율","%","21.9","14.4","18.2","16.7",
"전체","약간 감소","발효미생물류","비율","%","10.3","8.5","7.5","8",
"전체","약간 감소","신규기능성식품","비율","%","","","10.7","12",
"전체","비슷","비타민 및 무기질","비율","%","72.7","60","69.4","76.6",
"전체","비슷","식이섬유","비율","%","57.2","63.8","55.2","63.7",
"전체","비슷","아미노산 및 단백질","비율","%","65.3","60.6","59.8","61.5",
"전체","비슷","필수지방산","비율","%","64.2","59.9","","",
"전체","비슷","지방산","비율","%","","","59.7","68.1",
"전체","비슷","클로렐라/엽록소","비율","%","64.7","67.6","","",
"전체","비슷","엽록소","비율","%","","","60.8","63.7",
"전체","비슷","인삼류","비율","%","60.4","57.6","57.5","61.5",
"전체","비슷","페놀류","비율","%","62.5","68.5","58.1","66",
