코드유형,코드,코드명
공상구분코드,0,정상건
공상구분코드,1,공상건(공교공단분)
공상구분코드,3,광주민주유공자(30%감면)
공상구분코드,4,보훈(건강보험 또는 의료급여가입자)
공상구분코드,5,50%감면 보훈대상
공상구분코드,6,60%감면 보훈대상
공상구분코드,7,"보훈(상이처,무자격자)"
공상구분코드,8,"군인가족,예비역장군등대상(공교공단,직장,지역분)"
공상구분코드,9,"군인,공무원대상(공교공당분)"
공상구분코드,$         ,해당사항없음
공상구분코드,B         ,"보훈병원(상이처,무자격자/보험급여1차)"
공상구분코드,C         ,차상위 희귀질환·중증난치질환 또는 중증질환 본인부담 경감 대상자
공상구분코드,D         ,보훈병원(보험급여2차)
공상구분코드,E         ,차상위 만성질환18세미만 본인부담경감대상자
공상구분코드,F         ,차상위 장애인 만성질환 18세미만 본인부담경감대상자
공상구분코드,G         ,긴급복지 의료지원대상자
공상구분코드,H         ,희귀질환 지원대상자
공상구분코드,J         ,보훈감면환자(90%)
공상구분코드,N         ,조제기관공상
대행청구단체코드,82300,대구광역시약사회
대행청구단체코드,52300,대구광역시치과의사회
대행청구단체코드,32600,울산광역시의사회
대행청구단체코드,52101,부산광역시치과의사회
대행청구단체코드,53103,수원시 치과의사회
대행청구단체코드,50000,대한치과의사협회
대행청구단체코드,92200,인천광역시한의사회
대행청구단체코드,32201,인천광역시계양구의사회
대행청구단체코드,53600,전라남도치과의사회
대행청구단체코드,52203,인천광역시부평구치과의사회
대행청구단체코드,52202,인천광역시남구치과의사회
대행청구단체코드,33802,경남진해시의사회
대행청구단체코드,33801,경남창원시의사회
대행청구단체코드,93801,경남한의사회
대행청구단체코드,31100,서울특별시의사회
대행청구단체코드,53700,경북치과의사회
대행청구단체코드,53101,고양시치과의사회
대행청구단체코드,53102,시흥시치과의사회
대행청구단체코드,33101,안산시의사회
대행청구단체코드,52201,인천시중구치과의사회
대행청구단체코드,53201,강릉시치과의사회
명세서선별구분코드,$         ,해당사항없음
명세서선별구분코드,A10       ,추가청구 정밀
명세서선별구분코드,A20       ,입원 정밀
명세서선별구분코드,AQ1       ,병원급이상 정밀
명세서선별구분코드,B10       ,심사대상이 아닌건
명세서선별구분코드,C10       ,의원급 명세서통과건
명세서선별구분코드,C20       ,의원급 건별정밀심사
명세서선별구분코드,D10       ,약국 명세서 통과건
명세서선별구분코드,D20       ,약국 건별정밀심사
명세서선별구분코드,MA2       ,전산
명세서선별구분코드,MA3       ,지표
명세서선별구분코드,MA5       ,지정
명세서선별구분코드,MA6       ,분리
명세서선별구분코드,MAH       ,열외
명세서선별구분코드,MB3       ,분석심사일반
명세서선별구분코드,MC2       ,전산
명세서선별구분코드,MC3       ,정지
명세서선별구분코드,MC5       ,지정
명세서선별구분코드,MC6       ,분리
명세서선별구분코드,MC8       ,CI제
명세서선별구분코드,MG2       ,전산
명세서선별구분코드,MG3       ,지표
명세서선별구분코드,MG5       ,지정
명세서선별구분코드,MG6       ,분리
명세서선별구분코드,MGH       ,무심사:녹색 열외상단
명세서선별구분코드,MGL       ,무심사:녹색 열외하단
명세서선별구분코드,ML3       ,정지
명세서선별구분코드,ML5       ,지정
명세서선별구분코드,ML6       ,분리
명세서선별구분코드,MP2       ,무심사:전문 전산심사건
명세서선별구분코드,S5        ,기타
명세서선별구분코드,SA2       ,전열
명세서선별구분코드,SA3       ,지정
명세서선별구분코드,SA4       ,고정
명세서선별구분코드,SA5       ,지정
명세서선별구분코드,SA6       ,분리
명세서선별구분코드,SA7       ,열외
명세서선별구분코드,SA8       ,CI정
명세서선별구분코드,SAH       ,심사:지표 열외상단
명세서선별구분코드,SAL       ,심사:지표 열외하단
명세서선별구분코드,SB4       ,분석심사확인
명세서선별구분코드,SB9       ,분석심사심층
명세서선별구분코드,SC2       ,전열
명세서선별구분코드,SC3       ,정밀
명세서선별구분코드,SC4       ,고정
명세서선별구분코드,SC5       ,지정
명세서선별구분코드,SC6       ,분리
명세서선별구분코드,SC7       ,열외
명세서선별구분코드,SC8       ,CI정
명세서선별구분코드,SCH       ,심사:정밀 열외상단
명세서선별구분코드,SCL       ,심사:정밀 열외하단
명세서선별구분코드,SG4       ,고정
명세서선별구분코드,SG7       ,열외
명세서선별구분코드,SL3       ,정밀
명세서선별구분코드,SL4       ,고정
명세서선별구분코드,SL5       ,지정
명세서선별구분코드,SL6       ,분리
명세서선별구분코드,SP2       ,심사:전문 전산심사건
명세서선별구분코드,SP3       ,심사:전문 기타건
명세서선별구분코드,SPH       ,심사:전문 열외상단
명세서선별구분코드,SPL       ,심사:전문 열외하단
명세서선별구분코드,XA1       ,CI상 지표(종합병원이상 의과 입원 명세서 구분자('03.2.1~'05.11.1))
명세서선별구분코드,XA9       ,CI상 지표건중 지정(종합병원이상 의과 입원 명세서 구분자('03.2.1~'05.11.1))
명세서선별구분코드,XC1       ,열외군(종합병원이상 의과 입원 명세서 구분자('03.2.1~'05.11.1))
명세서선별구분코드,XC2       ,기타군(종합병원이상 의과 입원 명세서 구분자('03.2.1~'05.11.1))
명세서선별구분코드,XC3       ,CI상 정밀(종합병원이상 의과 입원 명세서 구분자('03.2.1~'05.11.1))
명세서선별구분코드,XC4       ,CI상 지표
명세서선별구분코드,XC9       ,분리청구건(종합병원이상 의과 입원 명세서 구분자('03.2.1~'05.11.1))
보건기관진료과목코드,0,내과통합
보건기관진료과목코드,11,의과
보건기관진료과목코드,12,치과
보건기관진료과목코드,13,조산
보건기관진료과목코드,14,피임시술
보건기관진료과목코드,15,물리치료
보건기관진료과목코드,21,초산
보건기관진료과목코드,22,경산
보건기관진료과목코드,23,골반위만출술
보건기관진료과목코드,24,피임시술
보건기관진료과목코드,25,자궁내장치
보건기관진료과목코드,31,한방시술
보건기관진료과목코드,32,한방투약
보건기관진료과목코드,33,한방시술및투약
보건기관진료과목코드,$         ,진료과코드오류
보험지표요양구분코드,10,종합전문병원
보험지표요양구분코드,20,종합병원 400병상이상
보험지표요양구분코드,30,종합병원 200~399병상
보험지표요양구분코드,31,의원
보험지표요양구분코드,40,종합병원 200병상 미만
보험지표요양구분코드,50,병원 60병상 이상
보험지표요양구분코드,51,치과의원
보험지표요양구분코드,60,병원 60병상 미만
보험지표요양구분코드,61,조산원
보험지표요양구분코드,70,치과병원
보험지표요양구분코드,71,보건소
보험지표요양구분코드,72,보건지소
보험지표요양구분코드,73,보건진료소
보험지표요양구분코드,74,모자보건센터
보험지표요양구분코드,75,보건의료원
보험지표요양구분코드,80,전문병원
보험지표요양구분코드,81,약국
보험지표요양구분코드,92,한방병원
보험지표요양구분코드,93,한의원
상해외인구분코드,$         ,상해외인구분오류
상해외인구분코드,C         ,양한방과가 동시에 개설된 요양기관에서 양(한)방 입원 진료중 한(양)방 협의진료
상해외인구분코드,D         ,기왕증
상해외인구분코드,E         ,의료급여정신과 환자 진료
상해외인구분코드,F         ,"등록 암(V193),개두술(V191),개심술(V192) 환자가 동일 입원기간 중 타 상병 진료"
상해외인구분코드,G         ,분만으로 출생한 신생아로 산모명세서와 분리 청구하는 진료분
상해외인구분코드,H         ,의료급여 예약검사 실시
상해외인구분코드,I         ,지원대상 질환과 동시에 진료한 타상병 진료분
상해외인구분코드,J         ,장기요양기관의 촉탁의 등 진료
상해외인구분코드,K         ,타법령 입원중 그외 질병
상해외인구분코드,L         ,결핵환자 의료비지원대상
상해외인구분코드,M         ,의료급여혈액투석정액 분리청구
상해외인구분코드,N         ,잠복결핵감염 검진비 분리청구
상해외인구분코드,O         ,의료급여선별급여 분리청구
상해외인구분코드,P         ,개방병원
상해외인구분코드,Q         ,잠복결핵감염 치료비지원대상 분리청구
상해외인구분코드,R         ,여성 청소년 대상 HPV 예방접종 분리청구
상해외인구분코드,S         ,뇌사자 장기이식
상해외인구분코드,T         ,난임 보조생식술 분리청구
상해외인구분코드,U         ,임상연구 분리청구
상해외인구분코드,V         ,V상해외인
상해외인구분코드,W         ,W상해외인
상해외인구분코드,X         ,X상해외인
상해외인구분코드,Y         ,Y상해외인
성별구분코드,0,공용
성별구분코드,1,남
성별구분코드,2,여
성별구분코드,3,남
성별구분코드,4,여
성별구분코드,5,남
성별구분코드,6,여
성별구분코드,7,남
성별구분코드,8,여
성별구분코드,9,성별구분오류
성별구분코드,F         ,여
성별구분코드,M         ,남
성별구분코드,N         ,구분없음
수진자구분코드,1,일반
수진자구분코드,2,신생아
수진자구분코드,3,행려
수진자구분코드,4,외국인
수진자구분코드,5,외국인(신생아)
수진자구분코드,6,주민등록번호 오류
수진자성별구분코드,0,남
수진자성별구분코드,1,남
수진자성별구분코드,2,여
수진자성별구분코드,3,남
수진자성별구분코드,4,여
수진자성별구분코드,5,남
수진자성별구분코드,6,여
수진자성별구분코드,7,남
수진자성별구분코드,8,여
수진자성별구분코드,9,여
수탁검사진료구분코드,$         ,수탁검사청구구분오류
수탁검사진료구분코드,A         ,"수탁진료, 개방병원진료, 공동이용 동시 발생"
수탁검사진료구분코드,K         ,공동이용
수탁검사진료구분코드,L         ,위탁검사청구
수탁검사진료구분코드,M         ,위탁검사지급
수탁검사진료구분코드,P         ,개방병원진료
수탁검사진료구분코드,T         ,수탁진료
시설상세코드,1101,상급병실
시설상세코드,1102,일반병실
시설상세코드,1200,낮병동
시설상세코드,1301,분만실
시설상세코드,1302,신생아실
시설상세코드,1303,수술실
시설상세코드,1304,회복실
시설상세코드,1305,응급실
시설상세코드,1306,인공신장실
시설상세코드,1307,무균치료실
시설상세코드,1308,격리병실
시설상세코드,1309,물리치료실
시설상세코드,1310,강내치료실
시설상세코드,1311,방사성옥소입원치료실
시설상세코드,1401,"집중치료실(성인,소아)"
시설상세코드,1402,집중치료실(신생아)
시설상세코드,1403,집중치료실(기타)
시설상세코드,2000,조혈모세포처치실
시설상세코드,3000,혈액은행
시설상세코드,$         ,시설상세코드오류
시설코드,11,입원실
시설코드,12,낮병동
시설코드,13,특수진료실
시설코드,14,집중치료실
시설코드,20,조혈모세포처치실
시설코드,30,혈액은행
시설코드,$         ,시설코드오류
심사결정적용수가구분코드,1,1~180일
심사결정적용수가구분코드,2,181~360일
심사결정적용수가구분코드,3,361 이상
심사결정적용수가구분코드,4,1~2구간미분리
심사결정적용수가구분코드,5,2~3구간미분리
심사결정적용수가구분코드,6,1~3구간미분리
심사결정적용수가구분코드,7,정신과외박수가
심사결정정신과설립구분코드,1,국공립병원
심사결정정신과설립구분코드,2,지방공사
심사결정정신과설립구분코드,3,사립진료기관
심사결정정신과설립구분코드,4,사립정신요양병원
심사결정정신과설립구분코드,5,민간위탁공립정신병원
심사결정정액정율구분코드,0,정액
심사결정정액정율구분코드,1,장기요양 정액명세서
심사결정정액정율구분코드,2,장기요양 행위별명세서
심사결정정액정율구분코드,3,신포괄수가제관련
심사결정정액정율구분코드,4,신포괄수가제관련
심사결정정액정율구분코드,5,신포괄수가제관련
심사결정정액정율구분코드,6,신포괄수가제관련
심사결정정액정율구분코드,7,완화수가(완화의료체감)
심사결정정액정율구분코드,8,완화수가(15일이상입원)
심사결정정액정율구분코드,9,정율
심사조정단계구분코드,$         ,해당사항없음
심사조정단계구분코드,A         ,자동점검
심사조정단계구분코드,B         ,일괄
심사조정단계구분코드,C         ,상근심사위원
심사조정단계구분코드,D         ,비상근심사위원
심사조정단계구분코드,E         ,심사기준 전산심사
심사조정단계구분코드,F         ,저함량배수처방점검
심사조정단계구분코드,G         ,동일성분중복처방(DUR)
심사조정단계구분코드,K         ,약제전산점검조정
심사조정단계구분코드,M         ,산정횟수(일투총투)
심사조정단계구분코드,P         ,임부금기(DUR)
심사조정단계구분코드,Q         ,지식기반전산심사
심사조정단계구분코드,R         ,연령금기(DUR)
심사조정단계구분코드,S         ,심사직원
심사조정단계구분코드,T         ,상병전산점검
심사조정단계구분코드,U         ,병용금기(DUR)
심사조정단계구분코드,V         ,전문분과심의위원회(SRC)
심사조정단계구분코드,W         ,전문가심사위원회(PRC)
심사조정단계구분코드,X         ,전산점검후상근심사위원조정
심사조정단계구분코드,Y         ,전산점검후비상근심사위원조정
심사조정단계구분코드,Z         ,전산점검후심사요원조정
심사조정사유코드,3,차상위2종환자 입원가산식대 급여기준 범위초과비용 조정
심사조정사유코드,4,"미신청된 신의료기술등(행위, 치료재료)의 청구비용 조정"
심사조정사유코드,5,장애인 치과 진료 가산비용 요양급여기준 범위초과 조정
심사조정사유코드,6,토요 진찰료 가산 요양급여기준 범위초과비용 조정
